,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,head box_x1,head box_y1,head box_x2,head box_y2,Category
1522,007219841.jpg,511,469,528,367,470,303,530,316,564,371,526,447,500,310,560,237,-1,-1,-1,-1,595,333,560,298,533,237,587,237,605,291,642,330,539,158,596,221,bicycling
1523,007219841.jpg,840,442,895,377,841,312,876,313,924,361,900,432,859,313,-1,-1,-1,-1,-1,-1,985,325,945,294,904,232,923,233,-1,-1,-1,-1,901,168,962,232,bicycling
1524,007219841.jpg,380,459,389,364,363,300,400,298,429,358,406,416,382,299,-1,-1,-1,-1,-1,-1,424,327,398,292,395,239,444,242,-1,-1,-1,-1,412,179,462,239,bicycling
1525,007219841.jpg,132,374,139,340,141,318,173,322,170,349,168,397,157,320,162,257,-1,-1,-1,-1,130,315,133,290,135,255,189,259,191,295,197,317,149,210,187,255,bicycling
1526,003065250.jpg,354,443,364,389,352,333,399,345,-1,-1,-1,-1,376,339,399,296,-1,-1,-1,-1,390,358,374,325,374,298,424,294,432,328,446,357,384,247,425,295,bicycling
1527,003065250.jpg,779,488,807,397,782,300,809,308,-1,-1,746,459,-1,-1,882,240,-1,-1,-1,-1,871,355,847,300,874,236,890,243,884,305,906,356,894,181,949,243,bicycling
1528,003065250.jpg,952,417,992,369,934,341,950,336,982,412,973,469,-1,-1,-1,-1,-1,-1,-1,-1,1033,364,998,329,990,286,1022,291,1012,320,1058,358,997,232,1048,284,bicycling
1529,003065250.jpg,-1,-1,1099,393,1071,346,1108,346,-1,-1,-1,-1,-1,-1,1120,290,-1,-1,-1,-1,1139,348,1119,323,1103,291,1137,289,1150,316,-1,-1,1116,243,1156,292,bicycling
1530,003065250.jpg,111,385,112,356,113,336,144,347,137,367,136,411,129,342,140,297,-1,-1,-1,-1,95,346,105,321,124,294,155,299,159,332,154,351,130,258,160,299,bicycling
1531,003065250.jpg,561,429,566,377,563,324,595,331,-1,-1,595,376,579,328,596,286,-1,-1,-1,-1,597,343,587,318,577,287,614,284,623,311,639,339,581,251,616,283,bicycling
1532,025768289.jpg,510,453,554,401,497,343,558,359,-1,-1,-1,-1,-1,-1,580,291,-1,-1,-1,-1,602,364,568,331,553,284,607,298,622,337,650,367,569,234,623,295,bicycling
1533,025768289.jpg,740,419,768,377,717,358,751,355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,820,370,789,338,755,304,796,300,812,335,-1,-1,768,252,805,291,bicycling
1534,025768289.jpg,843,411,890,380,839,351,840,345,-1,-1,873,419,-1,-1,890,307,-1,-1,-1,-1,914,373,889,348,880,311,899,302,908,339,918,360,882,264,926,313,bicycling
1535,025768289.jpg,1128,504,1148,424,1062,371,1059,367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1213,346,1152,355,1138,302,1146,298,-1,-1,1202,400,1145,223,1209,296,bicycling
1536,025768289.jpg,304,408,306,371,319,358,339,358,-1,-1,-1,-1,329,358,332,305,-1,-1,-1,-1,310,360,309,332,310,305,353,304,360,339,366,365,312,265,348,301,bicycling
1537,046262296.jpg,919,820,-1,-1,929,433,855,463,777,571,841,695,892,448,-1,-1,-1,-1,-1,-1,746,506,786,437,815,334,731,365,699,475,661,565,718,255,818,355,bicycling
1538,086827251.jpg,-1,-1,827,433,856,390,971,424,939,537,958,744,914,407,870,234,-1,-1,-1,-1,742,407,767,329,799,242,940,226,951,329,922,393,810,114,910,251,bicycling
1539,086827251.jpg,1190,724,-1,-1,1192,455,1265,456,1269,585,1277,685,1229,456,1224,322,-1,-1,-1,-1,1133,475,1148,393,1162,325,1285,319,1289,415,1281,484,1161,200,1261,320,bicycling
1540,072716907.jpg,-1,-1,-1,-1,888,274,789,284,701,418,768,567,839,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,779,147,623,174,612,296,583,420,616,29,739,165,bicycling
1541,072716907.jpg,-1,-1,-1,-1,431,333,359,335,315,492,322,644,395,334,323,218,-1,-1,-1,-1,512,407,462,314,381,211,265,225,229,325,224,398,276,139,339,212,bicycling
1542,074270652.jpg,798,896,755,720,808,529,700,537,650,719,642,876,754,533,684,405,-1,-1,-1,-1,-1,-1,-1,-1,760,403,608,406,589,537,567,645,633,296,727,398,bicycling
1543,074270652.jpg,1083,840,-1,-1,1103,551,989,555,928,690,919,905,1046,553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1038,394,907,403,858,524,836,617,918,300,1014,384,bicycling
1544,074270652.jpg,1606,853,1521,680,1658,508,1501,522,1391,775,1390,1054,1580,515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1490,274,1329,298,1272,452,1201,624,1324,129,1469,271,bicycling
1545,034593499.jpg,-1,-1,-1,-1,936,430,843,456,771,568,825,690,890,443,-1,-1,-1,-1,-1,-1,747,508,-1,-1,813,332,724,356,691,463,651,566,704,249,782,343,bicycling
1546,034593499.jpg,-1,-1,-1,-1,998,448,952,454,-1,-1,-1,-1,975,451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,909,351,845,355,-1,-1,-1,-1,814,263,898,339,bicycling
1547,037103876.jpg,821,712,-1,-1,810,384,742,411,650,507,740,621,776,398,618,298,-1,-1,-1,-1,-1,-1,-1,-1,658,274,577,322,561,418,524,522,535,202,637,300,bicycling
1548,037103876.jpg,-1,-1,-1,-1,1423,374,1389,384,1285,488,1303,615,1406,379,1260,296,-1,-1,-1,-1,-1,-1,-1,-1,1273,276,1246,316,1204,392,1141,465,1192,218,1261,290,bicycling
1549,086703150.jpg,1312,641,1309,532,1288,392,1374,394,1352,532,1350,643,1331,393,1337,276,-1,-1,-1,-1,1261,323,1272,356,1282,278,1392,273,1414,355,1396,314,1300,171,1357,247,water activities
1550,086703150.jpg,-1,-1,-1,-1,829,849,771,834,-1,-1,-1,-1,800,842,799,730,-1,-1,-1,-1,892,838,829,828,838,736,759,723,742,806,-1,-1,778,612,851,684,water activities
1551,057867541.jpg,-1,-1,-1,-1,896,899,1095,888,-1,-1,-1,-1,-1,-1,988,464,-1,-1,-1,-1,-1,-1,781,794,800,462,1176,465,1209,804,-1,-1,892,96,1065,363,water activities
1552,043861542.jpg,-1,-1,-1,-1,1006,829,1236,842,-1,-1,-1,-1,1121,836,1110,381,-1,-1,-1,-1,721,476,814,469,907,376,1313,386,1387,482,1471,535,1014,43,1182,288,water activities
1553,072525766.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,994,490,-1,-1,-1,-1,-1,-1,510,637,786,488,1201,491,1462,652,-1,-1,890,94,1073,453,water activities
1554,013156769.jpg,317,412,282,328,305,227,370,224,363,334,371,413,338,226,329,113,-1,-1,-1,-1,317,185,263,177,289,115,369,110,399,158,441,205,297,18,350,90,conditioning exercise
1555,071582496.jpg,1768,919,1722,693,1720,429,1525,457,1513,735,1525,956,1623,443,1614,188,-1,-1,-1,-1,-1,-1,1745,331,1721,185,1506,190,1449,368,1378,476,1537,12,1665,159,winter activities
1556,090903252.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1412,0,1527,37,winter activities
1557,017968311.jpg,-1,-1,1156,548,-1,-1,1076,336,1011,530,-1,-1,-1,-1,1119,139,-1,-1,-1,-1,-1,-1,-1,-1,1202,135,1035,142,1000,266,975,355,1059,24,1163,125,winter activities
1558,023754332.jpg,-1,-1,-1,-1,1107,490,1253,482,1263,585,1271,656,1180,486,1161,339,-1,-1,-1,-1,1117,464,1085,424,1099,351,1222,327,1267,401,1208,450,1112,245,1192,327,winter activities
1559,097139509.jpg,-1,-1,-1,-1,1005,541,1116,534,1099,624,-1,-1,1061,538,1046,394,-1,-1,-1,-1,970,488,945,460,981,388,1110,399,1129,472,1067,502,1008,288,1096,373,winter activities
1560,018097695.jpg,-1,-1,-1,-1,882,343,1032,342,1047,463,-1,-1,957,343,953,134,-1,-1,-1,-1,843,290,830,233,872,139,1034,129,1054,247,1022,292,904,2,1002,108,winter activities
1561,085438509.jpg,-1,-1,247,348,254,219,338,217,338,334,-1,-1,296,218,294,91,-1,-1,-1,-1,212,233,212,180,245,100,342,82,381,166,384,242,268,7,312,60,winter activities
1562,049227786.jpg,-1,-1,-1,-1,236,442,305,434,-1,-1,-1,-1,271,438,272,311,-1,-1,-1,-1,173,460,177,392,225,314,319,307,348,324,399,322,262,192,327,280,winter activities
1563,024723107.jpg,432,405,434,336,440,277,479,276,481,345,469,415,460,277,470,183,-1,-1,-1,-1,412,261,414,223,439,184,501,182,524,223,517,278,443,120,488,166,winter activities
1564,024723107.jpg,316,389,323,326,328,272,364,263,361,326,354,392,-1,-1,355,180,-1,-1,-1,-1,320,205,-1,-1,324,177,386,182,391,222,394,181,335,124,371,164,winter activities
1565,024723107.jpg,207,380,203,316,204,250,257,255,-1,-1,254,382,-1,-1,237,183,-1,-1,-1,-1,197,212,192,225,209,182,264,183,270,215,250,185,226,135,261,168,winter activities
1566,087074990.jpg,-1,-1,-1,-1,288,458,380,462,-1,-1,-1,-1,334,460,329,290,-1,-1,-1,-1,251,442,255,377,269,290,388,290,394,396,278,443,270,186,353,274,winter activities
1567,044530526.jpg,-1,-1,-1,-1,820,330,916,319,931,414,959,475,-1,-1,813,228,-1,-1,-1,-1,-1,-1,-1,-1,775,240,851,216,777,272,-1,-1,765,170,822,230,winter activities
1568,044530526.jpg,-1,-1,617,499,566,446,706,431,725,493,725,570,-1,-1,-1,-1,-1,-1,-1,-1,532,466,-1,-1,563,313,725,286,774,404,816,450,563,172,672,274,winter activities
1569,051481735.jpg,-1,-1,534,384,514,296,566,296,-1,-1,-1,-1,540,296,525,158,-1,-1,-1,-1,564,254,508,223,487,169,563,146,597,190,-1,-1,500,84,549,138,winter activities
1570,051481735.jpg,-1,-1,621,487,619,452,704,444,721,489,741,568,-1,-1,647,303,-1,-1,-1,-1,530,466,545,388,572,313,721,293,766,367,805,448,604,178,693,282,winter activities
1571,035923337.jpg,923,438,-1,-1,907,305,852,336,884,409,898,467,880,321,839,215,-1,-1,-1,-1,-1,-1,905,256,873,197,804,232,813,280,-1,-1,800,158,844,216,winter activities
1572,082888337.jpg,-1,-1,468,588,463,444,436,454,450,593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,547,378,483,317,450,326,-1,-1,-1,-1,464,236,532,318,walking
1573,043088752.jpg,537,685,-1,-1,605,640,572,647,467,603,465,709,-1,-1,-1,-1,-1,-1,-1,-1,572,684,-1,-1,558,523,497,540,535,612,533,699,466,450,536,525,walking
1574,016704191.jpg,-1,-1,467,446,454,305,517,287,562,441,-1,-1,486,296,476,146,-1,-1,-1,-1,451,293,408,254,423,160,529,132,554,234,553,276,435,33,492,118,walking
1575,016761922.jpg,-1,-1,-1,-1,291,424,458,412,-1,-1,-1,-1,375,418,403,165,-1,-1,-1,-1,195,328,-1,-1,280,161,525,169,530,300,571,358,365,2,503,155,walking
1576,003667143.jpg,-1,-1,-1,-1,342,375,448,379,-1,-1,-1,-1,395,377,436,171,-1,-1,-1,-1,245,375,282,278,358,157,513,184,532,296,534,419,394,26,498,141,walking
1577,073640202.jpg,-1,-1,-1,-1,459,376,527,371,-1,-1,-1,-1,493,374,441,194,-1,-1,-1,-1,220,325,325,291,364,204,517,184,603,289,572,416,332,73,439,202,walking
1578,066380453.jpg,-1,-1,-1,-1,360,360,426,374,-1,-1,-1,-1,393,367,415,208,-1,-1,-1,-1,314,379,327,293,356,208,474,208,505,329,415,389,371,83,452,177,walking
1579,047463088.jpg,-1,-1,-1,-1,492,293,596,292,611,398,-1,-1,544,293,521,130,-1,-1,-1,-1,225,134,336,110,445,113,597,146,616,297,494,348,429,6,524,133,walking
1580,084417045.jpg,314,465,338,342,368,227,419,227,423,349,-1,-1,394,227,399,103,-1,-1,-1,-1,333,190,321,171,346,98,452,107,463,187,437,225,379,2,445,71,walking
1581,058535436.jpg,212,229,174,161,238,174,276,171,288,244,315,315,257,173,262,86,-1,-1,-1,-1,191,55,217,75,242,92,281,79,300,20,-1,-1,238,38,279,82,walking
1582,086827128.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,381,232,-1,-1,-1,-1,155,157,76,285,278,219,483,245,648,322,591,175,305,7,446,189,walking
1583,020584121.jpg,-1,-1,252,311,270,195,329,203,326,319,-1,-1,300,199,316,54,-1,-1,-1,-1,-1,-1,-1,-1,273,50,359,57,-1,-1,-1,-1,286,1,338,41,walking
1584,011191962.jpg,-1,-1,-1,-1,393,463,513,462,-1,-1,-1,-1,453,463,463,226,-1,-1,-1,-1,205,186,296,231,398,225,528,226,-1,-1,-1,-1,409,120,486,220,walking
1585,026974961.jpg,-1,-1,255,419,267,339,305,344,265,435,301,470,286,342,293,234,-1,-1,-1,-1,201,293,232,283,263,235,323,232,341,293,340,325,241,170,297,240,walking
1586,005708686.jpg,-1,-1,275,464,333,381,410,378,379,478,-1,-1,-1,-1,386,246,-1,-1,-1,-1,291,284,269,304,338,246,434,246,486,323,353,292,341,153,414,241,walking
1587,053116953.jpg,547,1081,572,861,562,643,727,631,727,844,740,999,645,637,657,344,-1,-1,-1,-1,501,641,497,515,540,339,773,348,817,519,805,671,548,148,707,317,walking
1588,053116953.jpg,1083,603,1084,521,1091,420,1139,430,1138,541,1113,622,1115,425,1116,307,-1,-1,-1,-1,1058,452,1062,378,1071,309,1161,304,1182,363,1193,434,1098,221,1160,285,walking
1589,093660569.jpg,-1,-1,721,481,711,410,760,406,743,473,743,538,736,408,745,313,-1,-1,-1,-1,682,379,689,343,714,311,775,314,816,346,793,362,716,247,760,295,sports
1590,012210991.jpg,695,623,703,582,717,501,765,508,762,599,734,604,741,505,750,435,-1,-1,-1,-1,714,570,686,512,707,446,793,424,834,412,829,457,714,366,784,452,sports
1591,031615610.jpg,933,938,923,828,904,666,1012,666,1014,815,1054,990,-1,-1,-1,-1,-1,-1,-1,-1,873,197,865,294,944,344,1048,354,993,352,912,208,904,233,1011,360,conditioning exercise
1594,098663012.jpg,401,419,418,335,431,248,496,232,507,338,523,415,464,240,-1,-1,-1,-1,-1,-1,401,234,373,199,388,143,453,97,450,39,404,15,385,52,441,115,conditioning exercise
1595,096511870.jpg,383,337,404,282,443,212,485,247,495,340,502,435,464,230,518,130,-1,-1,-1,-1,444,134,424,153,480,121,555,139,561,197,511,233,502,45,552,116,conditioning exercise
1603,013965125.jpg,632,607,634,502,662,366,720,366,726,487,726,604,691,366,681,185,-1,-1,-1,-1,596,333,636,267,634,187,727,182,762,274,728,335,634,72,707,160,sports
1604,002997359.jpg,466,611,496,491,482,387,532,415,564,483,527,589,507,401,601,303,-1,-1,-1,-1,618,270,588,232,584,279,618,327,654,378,686,333,618,227,691,293,sports
1605,030792994.jpg,355,865,352,724,364,634,448,640,493,747,498,853,406,637,444,456,-1,-1,-1,-1,513,622,520,545,502,452,386,459,327,525,355,577,421,339,493,423,sports
1606,030792994.jpg,1265,804,1356,725,1248,646,1228,629,-1,-1,1305,809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1310,634,1327,549,1291,504,1380,525,1462,518,1296,442,1372,528,sports
1607,070468076.jpg,1559,744,1527,695,1511,554,1401,562,1450,734,1501,833,1456,558,-1,-1,-1,-1,-1,-1,1381,550,-1,-1,1488,444,1381,388,1316,388,1256,420,1391,342,1475,412,sports
1608,070468076.jpg,1124,860,1028,776,985,691,922,689,826,749,845,874,954,690,-1,-1,-1,-1,-1,-1,-1,-1,1018,614,961,559,872,552,797,624,742,694,867,458,932,535,sports
1609,020185345.jpg,79,371,83,329,97,269,62,271,60,338,68,373,80,270,65,200,-1,-1,-1,-1,151,233,109,219,88,193,42,206,47,250,-1,-1,43,155,75,189,sports
1610,044375022.jpg,-1,-1,-1,-1,291,207,333,203,288,285,313,358,-1,-1,-1,-1,-1,-1,-1,-1,229,158,261,160,273,110,302,111,300,156,253,137,251,34,301,96,walking
1611,086814225.jpg,214,382,223,304,223,221,263,214,276,292,279,384,243,218,252,118,-1,-1,-1,-1,245,197,215,165,224,117,280,118,284,169,282,209,231,50,273,101,walking
1612,017714979.jpg,386,405,338,352,332,266,296,273,255,346,229,433,314,270,-1,-1,-1,-1,-1,-1,221,225,269,208,283,157,308,165,343,213,348,271,256,78,306,146,walking
1613,069262595.jpg,-1,-1,289,535,282,412,367,416,350,567,357,695,325,414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264,133,345,242,walking
1614,083811529.jpg,418,609,402,509,452,420,528,419,509,539,506,627,490,420,495,276,-1,-1,-1,-1,476,391,431,375,438,271,551,280,557,368,531,397,461,172,527,269,walking
1615,094461422.jpg,517,579,469,495,498,367,563,375,559,513,564,566,531,371,535,229,-1,-1,-1,-1,420,307,468,273,492,218,578,240,623,335,580,395,458,122,552,229,walking
1616,068324803.jpg,493,578,-1,-1,456,368,469,365,420,471,439,593,-1,-1,440,171,-1,-1,-1,-1,314,245,387,245,397,166,482,176,537,296,503,407,373,42,466,148,walking
1617,049717476.jpg,355,609,384,493,336,352,426,338,431,472,461,567,-1,-1,-1,-1,-1,-1,-1,-1,341,410,298,304,379,201,488,217,463,283,474,333,432,104,538,213,walking
1618,061784724.jpg,379,602,444,508,387,381,450,365,-1,-1,442,580,419,373,413,189,-1,-1,-1,-1,349,405,338,307,362,201,463,176,474,272,498,341,388,51,475,161,walking
1619,086890498.jpg,452,538,448,459,412,341,496,339,529,463,545,548,454,340,471,191,-1,-1,-1,-1,307,222,357,243,406,178,535,203,543,305,533,391,439,72,527,185,walking
1620,057060975.jpg,359,565,387,452,331,333,319,307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,494,399,448,308,437,197,425,157,464,276,484,331,435,78,550,186,walking
1621,003038706.jpg,-1,-1,453,524,445,403,482,394,480,500,-1,-1,464,399,466,236,-1,-1,-1,-1,243,272,323,272,405,234,527,237,572,304,631,371,435,127,513,237,walking
1628,099941373.jpg,617,560,614,460,617,345,681,348,704,469,-1,-1,649,347,677,191,-1,-1,-1,-1,593,285,555,222,626,172,728,210,730,285,705,355,666,93,751,187,winter activities
1629,004821204.jpg,-1,-1,652,617,677,413,787,404,772,638,-1,-1,732,409,781,185,-1,-1,-1,-1,588,243,541,160,706,129,855,241,818,404,721,524,713,51,829,213,winter activities
1640,076228513.jpg,-1,-1,331,455,352,406,430,403,434,468,-1,-1,391,405,409,237,-1,-1,-1,-1,304,149,193,207,328,227,489,247,496,358,523,455,298,129,399,216,conditioning exercise
1641,079781365.jpg,-1,-1,329,466,329,427,438,431,434,469,-1,-1,-1,-1,379,252,-1,-1,-1,-1,314,414,284,358,293,251,465,252,482,356,451,416,370,110,454,213,conditioning exercise
1642,012020906.jpg,-1,-1,214,652,224,553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,182,525,200,436,232,368,315,365,-1,-1,-1,-1,268,281,322,361,running
1643,012020906.jpg,-1,-1,307,678,314,556,387,559,389,676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,383,333,328,354,376,375,-1,-1,-1,-1,338,267,393,349,running
1644,012020906.jpg,362,439,482,512,449,334,492,344,531,504,476,667,471,339,-1,-1,-1,-1,-1,-1,744,295,630,259,565,178,567,192,630,289,725,316,545,85,633,173,running
1645,054448910.jpg,357,384,373,300,431,222,457,223,479,313,563,314,-1,-1,-1,-1,-1,-1,-1,-1,479,196,506,138,457,101,414,111,435,167,401,162,395,38,451,97,running
1646,000575866.jpg,914,1003,890,751,837,561,1009,553,952,769,952,820,923,557,916,253,-1,-1,-1,-1,808,440,793,404,816,258,1016,248,1075,394,986,343,867,67,972,205,running
1647,032458583.jpg,960,958,938,824,938,658,1011,650,1013,833,1011,896,975,654,973,380,-1,-1,-1,-1,902,525,859,528,886,383,1059,376,1104,480,1100,552,909,240,1000,379,running
1648,032458583.jpg,287,765,328,672,241,633,286,616,382,646,398,764,264,625,-1,-1,-1,-1,-1,-1,274,575,203,578,245,517,314,513,-1,-1,-1,-1,253,449,321,509,running
1649,039617269.jpg,379,484,447,488,426,386,477,375,495,456,458,554,-1,-1,-1,-1,-1,-1,-1,-1,453,359,384,339,428,266,461,267,-1,-1,500,333,414,176,481,247,running
1650,069546721.jpg,672,490,798,482,791,345,814,345,866,453,850,557,-1,-1,-1,-1,-1,-1,-1,-1,859,308,797,296,813,212,796,200,746,269,-1,-1,766,81,854,176,running
1654,023754413.jpg,260,890,497,1042,462,741,581,736,654,960,-1,-1,522,739,-1,-1,-1,-1,-1,-1,507,636,367,566,469,444,614,444,-1,-1,721,626,519,219,646,393,sports
1655,023754413.jpg,-1,-1,-1,-1,1189,896,1272,896,-1,-1,-1,-1,1231,896,1203,611,-1,-1,-1,-1,1095,821,1039,717,1101,624,1304,597,1387,736,1368,760,1184,426,1314,568,sports
1656,023754413.jpg,-1,-1,1398,1055,1492,850,1586,828,1711,1067,-1,-1,1539,839,1573,545,-1,-1,-1,-1,1586,730,1422,725,1518,571,1627,518,-1,-1,-1,-1,1532,382,1646,505,sports
1657,037325179.jpg,-1,-1,-1,-1,473,158,459,161,418,191,432,231,466,160,451,105,-1,-1,-1,-1,-1,-1,-1,-1,464,102,438,107,434,142,423,145,421,68,455,98,sports
1658,022726963.jpg,356,430,363,368,387,322,450,326,468,372,488,407,-1,-1,411,248,-1,-1,-1,-1,-1,-1,393,298,386,247,436,249,450,284,-1,-1,394,186,441,231,sports
1659,007319592.jpg,-1,-1,-1,-1,861,307,851,307,809,344,843,381,-1,-1,-1,-1,-1,-1,-1,-1,796,305,829,284,858,246,842,250,820,278,787,300,824,201,871,239,sports
1660,060344859.jpg,840,355,830,301,768,232,716,232,-1,-1,-1,-1,742,232,-1,-1,-1,-1,-1,-1,-1,-1,805,218,794,160,721,168,704,222,-1,-1,738,94,793,146,sports
1661,066821280.jpg,-1,-1,591,277,649,211,699,217,734,286,750,366,-1,-1,694,106,-1,-1,-1,-1,-1,-1,634,151,657,98,731,114,734,197,704,215,675,34,733,96,sports
1662,061949035.jpg,629,433,688,333,607,280,669,265,726,297,-1,-1,-1,-1,662,166,-1,-1,-1,-1,729,231,653,228,636,168,688,164,-1,-1,-1,-1,633,84,691,149,sports
1663,046349404.jpg,590,403,-1,-1,657,294,697,281,711,323,723,396,-1,-1,675,205,-1,-1,-1,-1,646,277,622,244,641,205,708,204,717,250,672,268,635,132,693,194,sports
1664,037978578.jpg,-1,-1,678,354,694,326,731,325,729,390,742,448,713,326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,677,256,714,251,740,275,699,289,662,188,714,241,sports
1665,086333365.jpg,615,474,640,362,670,276,722,271,-1,-1,-1,-1,696,274,-1,-1,-1,-1,-1,-1,678,250,630,222,618,148,709,131,727,205,-1,-1,638,38,705,124,sports
1666,051908179.jpg,-1,-1,-1,-1,747,200,783,200,734,263,739,356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,740,141,728,217,683,244,661,78,714,141,sports
1667,047918188.jpg,376,514,287,411,171,311,184,296,320,272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,288,384,226,322,270,237,282,200,-1,-1,386,258,288,163,367,244,sports
1668,047918188.jpg,246,831,390,754,436,581,487,576,604,691,568,865,462,579,-1,-1,-1,-1,-1,-1,549,509,446,537,451,422,520,405,-1,-1,-1,-1,482,309,547,405,sports
1669,002564207.jpg,593,736,618,569,455,476,472,475,357,612,233,569,-1,-1,-1,-1,-1,-1,-1,-1,371,285,463,318,555,327,577,331,-1,-1,565,481,581,268,660,353,sports
1670,002564207.jpg,587,809,734,692,823,545,879,561,984,645,865,746,851,553,-1,-1,-1,-1,-1,-1,1019,400,942,407,930,388,909,381,827,402,732,405,951,337,1025,425,sports
1671,002564207.jpg,254,896,266,708,104,602,73,583,-1,-1,-1,-1,89,593,-1,-1,-1,-1,-1,-1,-1,-1,56,381,160,427,234,434,242,513,306,504,219,354,300,447,sports
1672,038019562.jpg,321,399,288,363,294,285,313,298,257,279,278,333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,317,221,368,232,384,262,389,295,323,178,359,219,sports
1673,039882278.jpg,-1,-1,-1,-1,139,284,153,284,118,348,150,404,-1,-1,-1,-1,-1,-1,-1,-1,105,245,138,247,156,209,192,200,208,237,176,233,151,143,193,192,sports
1674,058017237.jpg,254,411,255,310,259,212,308,199,329,268,352,392,284,206,276,70,-1,-1,-1,-1,175,192,190,137,222,71,330,69,343,137,355,158,262,2,314,57,sports
1675,053360255.jpg,324,412,326,357,326,292,385,296,372,358,360,415,356,294,360,205,-1,-1,-1,-1,317,276,324,250,325,209,395,200,405,258,381,265,338,152,376,199,sports
1676,060790509.jpg,352,426,339,347,353,298,395,292,352,337,359,428,374,295,358,220,-1,-1,-1,-1,306,295,333,253,341,228,375,212,403,255,377,293,317,157,361,214,sports
1677,076488326.jpg,339,414,295,370,301,312,339,308,307,365,331,426,320,310,323,222,-1,-1,-1,-1,265,286,290,265,298,221,347,223,342,274,298,254,316,161,350,205,sports
1678,081298574.jpg,-1,-1,-1,-1,364,371,429,367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,288,-1,-1,333,196,405,179,474,280,402,366,243,91,344,189,sports
1679,071812308.jpg,-1,-1,-1,-1,409,391,476,398,-1,-1,-1,-1,443,395,436,183,-1,-1,-1,-1,386,77,340,172,385,191,487,175,565,271,551,372,403,62,474,154,sports
1680,095552370.jpg,-1,-1,-1,-1,408,368,485,363,-1,-1,-1,-1,447,366,453,199,-1,-1,-1,-1,354,169,321,227,397,186,509,211,518,302,485,326,423,84,499,186,sports
1681,001823258.jpg,389,348,437,288,421,208,529,206,515,304,511,443,-1,-1,471,133,-1,-1,-1,-1,379,344,329,227,385,130,556,136,597,262,516,372,427,38,520,185,sports
1682,019577799.jpg,-1,-1,-1,-1,430,469,543,471,-1,-1,-1,-1,487,470,487,225,-1,-1,-1,-1,-1,-1,328,124,416,223,557,226,647,132,574,74,419,59,507,204,sports
1683,000756287.jpg,-1,-1,-1,-1,418,412,489,407,-1,-1,-1,-1,-1,-1,412,201,-1,-1,-1,-1,484,411,387,360,347,234,476,168,540,253,597,310,346,45,452,164,sports
1684,064747471.jpg,-1,-1,-1,-1,436,449,556,446,-1,-1,-1,-1,496,448,487,241,-1,-1,-1,-1,391,422,409,356,411,265,562,216,623,258,578,307,427,96,511,195,sports
1685,089803055.jpg,-1,-1,-1,-1,460,395,534,394,-1,-1,-1,-1,497,395,-1,-1,-1,-1,-1,-1,249,197,356,211,422,166,541,163,634,242,517,162,441,44,516,154,sports
1686,024348230.jpg,-1,-1,-1,-1,408,456,478,456,-1,-1,-1,-1,443,456,482,308,-1,-1,-1,-1,423,256,348,299,426,288,538,328,-1,-1,516,409,448,202,518,284,sports
1687,092703454.jpg,359,574,388,526,344,446,456,388,580,446,444,512,400,417,376,253,-1,-1,-1,-1,466,413,324,404,299,264,452,241,526,295,663,346,340,85,460,238,sports
1688,006026739.jpg,-1,-1,-1,-1,485,512,597,520,-1,-1,-1,-1,541,516,586,229,-1,-1,-1,-1,419,462,419,330,497,210,675,247,793,268,911,218,558,62,651,192,sports
